date,sales,demand,spend_sms,spend_newspaper,spend_radio,spend_tv,spend_internet,grp_sms,grp_newspaper,grp_radio,grp_internet,grp_tv,cpi,cci,ppi,unit_price,pos_supply
2010-01-04,6107038.5600000005,16832,297.5014,53.325071,420.127,5586.7671,2715.8559999999998,9.910924999999999,98.9555,99.0341,289.181825,779.534075,104.9,96.3,106.7,361.62,16888
2010-01-11,12552915.06,33993,536.1826,93.118373,731.0635,9728.7639,4579.046,6.662599999999999,87.74171428571428,103.16234285714286,296.28569999999996,788.0324571428572,104.9,96.3,106.7,361.62,34713
2010-01-18,13602697.92,36936,509.4602,92.731707,711.3603,9818.472,4388.715,46.78348571428571,124.84957142857142,121.83115714285714,286.44804285714287,856.7337714285715,104.9,96.3,106.7,361.62,37616
2010-01-25,21341727.54,57257,501.2573,92.800052,694.0511,9806.763500000001,29891.666,25.55975714285714,135.04542857142857,116.18181428571428,286.93505714285715,1022.9091,104.9,96.3,106.7,361.62,59017
2010-02-01,25996861.8,74721,527.6318,95.193279,723.8677,10069.2847,20208.239,45.567714285714295,136.38185714285714,104.98049999999999,247.0649142857143,913.2857142857143,104.9,96.5,107.2,361.62,71890
2010-02-08,26153081.64,78573,519.2482,94.320666,720.7401,9947.083200000001,21743.05,19.676142857142857,136.44057142857145,84.15584285714286,223.7078,813.9091,104.9,96.5,107.2,361.62,72322
2010-02-15,27623790.18,83102,474.5133,93.738021,657.6473,9921.3665,19148.524999999998,16.81852857142857,246.27057142857143,106.16235714285713,255.19481428571427,911.8506428571428,104.9,96.5,107.2,361.62,76389
2010-02-22,27727213.5,79523,417.3963,92.881448,584.1751,9695.2346,19535.333,46.938357142857136,352.3604285714286,128.63637142857144,262.37662857142857,1705.454542857143,104.9,96.5,107.2,361.62,76675
2010-03-01,16190812.26,63449,438.1904,92.94859,570.431,9733.8844,28207.334000000003,28.108085714285714,468.3887142857143,111.74674285714286,247.03245714285714,1185.8116714285713,105.4,96.5,106.4,361.62,44773
2010-03-08,14056892.64,59562,423.2277,93.234615,546.6073,9695.9696,26832.667,22.361371428571427,817.3178571428572,107.77921428571427,238.4805142857143,883.9934857142858,105.4,96.5,106.4,361.62,38872
2010-03-15,14994211.68,56625,424.39369999999997,92.686601,562.4902,9615.0139,30569.095,13.791042857142857,1089.3048571428571,106.68832857142857,251.25322857142856,955.7597285714286,105.4,96.5,106.4,361.62,41464
